ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,616d57c2-0acc-449b-b59d-5e4252effd46,2069,,"[52.2, 32.7]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Oleksandr Zinchenko,3575.0,Left Center Midfield,86,Ukraine,911,['32f47cc8-cadb-4383-a740-9f6e16a07bc5'],1,,,,,,,,,,,,,,Ukraine,911,00:00:01.330,Ball Receipt*,
,,,,,,,,,,,,,,,0.957264,,,,,,,,,,,,9646b321-6419-4f27-ba7a-60a8fce89c55,2070,,"[51.5, 32.7]",3788746,45,,,,2.4815836,,Left Foot,,,,"[44.8, 37.9]",,Ground Pass,,8.481155,,,,Serhii Sydorchuk,16514.0,,,,,,2,From Kick Off,Oleksandr Zinchenko,3575.0,Left Center Midfield,86,Ukraine,911,['05d5bc88-3553-40b8-bfc9-f91926a1d20b'],1,,,,,,,,,,,,,,Ukraine,911,00:00:01.330,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,05d5bc88-3553-40b8-bfc9-f91926a1d20b,2071,,"[44.8, 37.9]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Serhii Sydorchuk,16514.0,Center Defensive Midfield,86,Ukraine,911,['9646b321-6419-4f27-ba7a-60a8fce89c55'],2,,,,,,,,,,,,,,Ukraine,911,00:00:02.287,Ball Receipt*,
,,,,,,,,,,,,,,,1.571608,,,,,,,,,,,,69e18b13-abab-49e3-9a21-7a1fd9ed3f60,2072,,"[44.8, 37.9]",3788746,45,,,,-1.6809679,,Right Foot,,,,"[42.3, 15.3]",,Ground Pass,,22.737854,,,,Vitalii Mykolenko,20827.0,,,,,,2,From Kick Off,Serhii Sydorchuk,16514.0,Center Defensive Midfield,86,Ukraine,911,['d26e27af-6c10-4615-acfc-1d5e0c78a309'],2,,,,,,,,,,,,,,Ukraine,911,00:00:02.287,Pass,
,,,,,,,,,,,,,,,1.448118,,,,,,,,,,,,a1d677eb-bca8-4e07-8ae2-889de691777e,8,,"[50.8, 29.5]",3788746,0,,,,-2.2063067,,Right Foot,,,,"[40.4, 15.4]",,Ground Pass,,17.52056,,,,Daley Blind,3311.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Netherlands,941,['3e613a91-02b1-4458-921d-c2ca607c9d25'],3,,,,,,,,,,,,,,Netherlands,941,00:00:03.806,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,d26e27af-6c10-4615-acfc-1d5e0c78a309,2073,,"[42.3, 15.3]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Vitalii Mykolenko,20827.0,Left Back,86,Ukraine,911,['69e18b13-abab-49e3-9a21-7a1fd9ed3f60'],3,,,,,,,,,,,,,,Ukraine,911,00:00:03.858,Ball Receipt*,
,,,"[42.6, 15.2]",,,,,,,,,,,,1.084545,,,,,,,,,,,,da48719d-89b8-4e65-999c-0cf0f2a7b65f,2074,,"[42.3, 15.3]",3788746,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Vitalii Mykolenko,20827.0,Left Back,86,Ukraine,911,"['92e4868e-63dc-47e9-a9b0-5567f6c791ee', 'd26e27af-6c10-4615-acfc-1d5e0c78a309']",3,,,,,,,,,,,,,,Ukraine,911,00:00:03.858,Carry,
,,,,,,,,,,,,,,,1.466209,,,,,,,,,,,,92e4868e-63dc-47e9-a9b0-5567f6c791ee,2075,,"[42.6, 15.2]",3788746,45,,,,2.5179489,,Left Foot,,,,"[28.7, 25.2]",,Ground Pass,,17.123375,,,,Mykola Matviyenko,18617.0,,,,,,2,From Kick Off,Vitalii Mykolenko,20827.0,Left Back,86,Ukraine,911,['1cd7d96b-8e01-407d-8725-26ec64d20acd'],4,,,,,,,,,,,,,,Ukraine,911,00:00:04.943,Pass,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3e613a91-02b1-4458-921d-c2ca607c9d25,9,,"[40.4, 15.4]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Netherlands,941,['a1d677eb-bca8-4e07-8ae2-889de691777e'],5,,,,,,,,,,,,,,Netherlands,941,00:00:05.254,Ball Receipt*,
,,,"[41.6, 14.0]",,,,,,,,,,,,0.813086,,,,,,,,,,,,8ddb3da4-2264-43db-b1c2-8c740c0863ba,10,,"[40.4, 15.4]",3788746,0,,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Daley Blind,3311.0,Left Center Back,2,Netherlands,941,"['3e613a91-02b1-4458-921d-c2ca607c9d25', '621c83ef-05be-41c5-b950-6ae26e29da80']",5,,,,,,,,,,,,,,Netherlands,941,00:00:05.254,Carry,
